"SSPRN.Code.or.Value","SSPRN.Value.Description","SSPRN.Count","SSPRN.Cumulative","SSPRN.Skip.to.Item"
"0.06 to 20144.94","Range of Values",5911,5911,NA
".","Missing",0,5911,NA
