"FSD230N.Code.or.Value","FSD230N.Value.Description","FSD230N.Count","FSD230N.Cumulative","FSD230N.Skip.to.Item"
"1 to 6","Range of Values",2130,2130,NA
"7","7 or more",85,2215,NA
"77","Refused",0,2215,NA
"99","Don't know",0,2215,NA
".","Missing",7039,9254,NA
