"CIQP13H.Code.or.Value","CIQP13H.Value.Description","CIQP13H.Count","CIQP13H.Cumulative","CIQP13H.Skip.to.Item"
"1","Yes",44,44,NA
"2","No",64,108,NA
"7","Refused",0,108,NA
"9","Don't know",0,108,NA
".","Missing",742,850,NA
