"URXPRO.Code.or.Value","URXPRO.Value.Description","URXPRO.Count","URXPRO.Cumulative","URXPRO.Skip.to.Item"
"0.0354 to 0.05","Range of Values",2566,2566,NA
".","Missing",128,2694,NA
