"LBDCOTLC.Code.or.Value","LBDCOTLC.Value.Description","LBDCOTLC.Count","LBDCOTLC.Cumulative","LBDCOTLC.Skip.to.Item"
"0","At or above the detection limit",4669,4669,NA
"1","Below lower detection limit",2432,7101,NA
".","Missing",835,7936,NA
