"URXMONP.Code.or.Value","URXMONP.Value.Description","URXMONP.Count","URXMONP.Cumulative","URXMONP.Skip.to.Item"
"0.28 to 833.3","Range of Values",2762,2762,NA
".","Missing",224,2986,NA
