"SPFUA.Code.or.Value","SPFUA.Value.Description","SPFUA.Count","SPFUA.Cumulative","SPFUA.Skip.to.Item"
"0.2 to 4","Range of Values",1456,1456,NA
".","Missing",0,1456,NA
