"LBX170LA.Code.or.Value","LBX170LA.Value.Description","LBX170LA.Count","LBX170LA.Cumulative","LBX170LA.Skip.to.Item"
"0.06 to 299","Range of Values",1888,1888,NA
".","Missing",397,2285,NA
