"CVDEXCL6.Code.or.Value","CVDEXCL6.Value.Description","CVDEXCL6.Count","CVDEXCL6.Cumulative","CVDEXCL6.Skip.to.Item"
"1","Yes",92,92,NA
"2","No",781,873,NA
".","Missing",3790,4663,NA
