"DXXPT0Y.Code.or.Value","DXXPT0Y.Value.Description","DXXPT0Y.Count","DXXPT0Y.Cumulative","DXXPT0Y.Skip.to.Item"
"97.9 to 316.8","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
