"LBXETB.Code.or.Value","LBXETB.Value.Description","LBXETB.Count","LBXETB.Cumulative","LBXETB.Skip.to.Item"
"1","Positive",31,31,NA
"2","Negative",339,370,NA
".","Missing",8809,9179,NA
