"AGQ080C.Code.or.Value","AGQ080C.Value.Description","AGQ080C.Count","AGQ080C.Cumulative","AGQ080C.Skip.to.Item"
"3","Small furry animal",6,6,NA
".","Missing",9816,9822,NA
