"DR1TTHEO.Code.or.Value","DR1TTHEO.Value.Description","DR1TTHEO.Count","DR1TTHEO.Cumulative","DR1TTHEO.Skip.to.Item"
"0 to 1188","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
