"ORXH33.Code.or.Value","ORXH33.Value.Description","ORXH33.Count","ORXH33.Cumulative","ORXH33.Skip.to.Item"
"1","Positive",5,5,NA
"2","Negative",4541,4546,NA
"3","Not evaluated",297,4843,NA
".","Missing",0,4843,NA
