"LBDT4SI.Code.or.Value","LBDT4SI.Value.Description","LBDT4SI.Count","LBDT4SI.Cumulative","LBDT4SI.Skip.to.Item"
"5.1 to 347.5","Range of Values",2345,2345,NA
".","Missing",202,2547,NA
