"BIXC013K.Code.or.Value","BIXC013K.Value.Description","BIXC013K.Count","BIXC013K.Cumulative","BIXC013K.Skip.to.Item"
"19.24 to 559.4","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
