"PAD570.Code.or.Value","PAD570.Value.Description","PAD570.Count","PAD570.Cumulative","PAD570.Skip.to.Item"
"0","Less than 1 hour",469,469,NA
"1","1 hour",561,1030,NA
"2","2 hours",780,1810,NA
"3","3 hours",476,2286,NA
"4","4 hours, or",245,2531,NA
"5","5 hours or more",347,2878,NA
"6","None",196,3074,NA
"77","Refused",0,3074,NA
"99","Don't know",16,3090,NA
".","Missing",6098,9188,NA
