"FSD141.Code.or.Value","FSD141.Value.Description","FSD141.Count","FSD141.Cumulative","FSD141.Skip.to.Item"
"1","Yes",129,129,NA
"2","No",917,1046,NA
"7","Refused",0,1046,NA
"9","Don't know",1,1047,NA
".","Missing",8207,9254,NA
