"WTSAU13.Code.or.Value","WTSAU13.Value.Description","WTSAU13.Count","WTSAU13.Cumulative","WTSAU13.Skip.to.Item"
"0 to 480387.03241","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
