"LBC138LA.Code.or.Value","LBC138LA.Value.Description","LBC138LA.Count","LBC138LA.Cumulative","LBC138LA.Skip.to.Item"
"0.7545 to 86.72","Range of Values",265,265,NA
".","Missing",0,265,NA
