"ALQ101.Code.or.Value","ALQ101.Value.Description","ALQ101.Count","ALQ101.Cumulative","ALQ101.Skip.to.Item"
"1","Yes",3477,3477,"ALQ120Q"
"2","No",1728,5205,""
"7","Refused",0,5205,""
"9","Don't know",3,5208,""
".","Missing",527,5735,""
