"LBDALDLC.Code.or.Value","LBDALDLC.Value.Description","LBDALDLC.Count","LBDALDLC.Cumulative","LBDALDLC.Skip.to.Item"
"0","At or above the detection limit",2,2,NA
"1","Below lower detection limit",1944,1946,NA
".","Missing",391,2337,NA
