"LBCD03.Code.or.Value","LBCD03.Value.Description","LBCD03.Count","LBCD03.Cumulative","LBCD03.Skip.to.Item"
"0.2899 to 388","Range of Values",298,298,NA
".","Missing",3,301,NA
