"WBXA038.Code.or.Value","WBXA038.Value.Description","WBXA038.Count","WBXA038.Cumulative","WBXA038.Skip.to.Item"
"-8.1425 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
