"TYXA143.Code.or.Value","TYXA143.Value.Description","TYXA143.Count","TYXA143.Cumulative","TYXA143.Skip.to.Item"
"0.09 to 6.478","Range of Values",3880,3880,NA
".","Missing",1705,5585,NA
