"WTSHM09.Code.or.Value","WTSHM09.Value.Description","WTSHM09.Count","WTSHM09.Cumulative","WTSHM09.Skip.to.Item"
"0.0000000 to 752674.9363300","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
