"WTMREP47.Code.or.Value","WTMREP47.Value.Description","WTMREP47.Count","WTMREP47.Cumulative","WTMREP47.Skip.to.Item"
"0 to 252840.3993","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
