"OPXDF1FO.Code.or.Value","OPXDF1FO.Value.Description","OPXDF1FO.Count","OPXDF1FO.Cumulative","OPXDF1FO.Skip.to.Item"
"0","Good/fair",2741,2741,NA
"1","Borderline",369,3110,NA
"2","Poor",125,3235,NA
".","Missing",628,3863,NA
