"OSQ040cj.Code.or.Value","OSQ040cj.Value.Description","OSQ040cj.Count","OSQ040cj.Cumulative","OSQ040cj.Skip.to.Item"
"1","Under 50 years old, or",1,1,"OSQ025"
"2","50 years old or older?",0,1,""
"7","Refused",0,1,"OSQ025"
"9","Don't know",0,1,"OSQ025"
".","Missing",4978,4979,""
