"LBXTC2.Code.or.Value","LBXTC2.Value.Description","LBXTC2.Count","LBXTC2.Cumulative","LBXTC2.Skip.to.Item"
"11.88 to 4366.8","Range of Values",1860,1860,NA
".","Missing",425,2285,NA
