"WBXF051.Code.or.Value","WBXF051.Value.Description","WBXF051.Count","WBXF051.Cumulative","WBXF051.Skip.to.Item"
"1587.4011 to 1587.4011","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
