"LB2STRSI.Code.or.Value","LB2STRSI.Value.Description","LB2STRSI.Count","LB2STRSI.Cumulative","LB2STRSI.Skip.to.Item"
"0.248 to 10.951","Range of Values",544,544,NA
".","Missing",2,546,NA
