"URDDCZLC.Code.or.Value","URDDCZLC.Value.Description","URDDCZLC.Count","URDDCZLC.Cumulative","URDDCZLC.Skip.to.Item"
"0","At or above detection limit",12,12,NA
"1","Below lower detection limit",2576,2588,NA
".","Missing",106,2694,NA
