"RHD230.Code.or.Value","RHD230.Value.Description","RHD230.Count","RHD230.Cumulative","RHD230.Skip.to.Item"
"0 to 15","Range of Values",1155,1155,NA
"77","Refused",0,1155,NA
"99","Don't know",1,1156,NA
".","Missing",2441,3597,NA
