"DUQ270Q.Code.or.Value","DUQ270Q.Value.Description","DUQ270Q.Count","DUQ270Q.Cumulative","DUQ270Q.Skip.to.Item"
"1 to 120","Range of Values",477,477,NA
"7777","Refused",0,477,NA
"9999","Don't know",0,477,NA
".","Missing",4095,4572,NA
