"MPQ120H.Code.or.Value","MPQ120H.Value.Description","MPQ120H.Count","MPQ120H.Cumulative","MPQ120H.Skip.to.Item"
"17","Mid-arm - left",71,71,NA
".","Missing",4970,5041,NA
