"RFXC043.Code.or.Value","RFXC043.Value.Description","RFXC043.Count","RFXC043.Cumulative","RFXC043.Skip.to.Item"
"-7.252 to 5.269","Range of Values",33703,33703,NA
".","Missing",18,33721,NA
