"LBXBR7LA.Code.or.Value","LBXBR7LA.Value.Description","LBXBR7LA.Count","LBXBR7LA.Cumulative","LBXBR7LA.Skip.to.Item"
"0.4 to 821","Range of Values",2039,2039,NA
".","Missing",298,2337,NA
