"FSQ865.Code.or.Value","FSQ865.Value.Description","FSQ865.Count","FSQ865.Cumulative","FSQ865.Skip.to.Item"
"16 to 700","Range of Values",65,65,NA
"77777","Refused",0,65,NA
"99999","Don't know",29,94,NA
".","Missing",9160,9254,NA
