"DS1DSCNT.Code.or.Value","DS1DSCNT.Value.Description","DS1DSCNT.Count","DS1DSCNT.Cumulative","DS1DSCNT.Skip.to.Item"
"0 to 19","Range of Values",7615,7615,NA
".","Missing",1089,8704,NA
