"OCQ340.Code.or.Value","OCQ340.Value.Description","OCQ340.Count","OCQ340.Cumulative","OCQ340.Skip.to.Item"
"1","Yes",963,963,""
"2","No",2110,3073,"OCD390G"
"7","Refused",2,3075,"OCD390G"
"9","Don't know",0,3075,"OCD390G"
".","Missing",3138,6213,""
