"LBXVCB.Code.or.Value","LBXVCB.Value.Description","LBXVCB.Count","LBXVCB.Cumulative","LBXVCB.Skip.to.Item"
"0.008 to 0.021","Range of Values",2866,2866,NA
".","Missing",306,3172,NA
