"URDPM1LC.Code.or.Value","URDPM1LC.Value.Description","URDPM1LC.Count","URDPM1LC.Cumulative","URDPM1LC.Skip.to.Item"
"0","At or above the detection limit",2050,2050,NA
"1","Below lower detection limit",306,2356,NA
".","Missing",106,2462,NA
