"KIQ080.Code.or.Value","KIQ080.Value.Description","KIQ080.Count","KIQ080.Cumulative","KIQ080.Skip.to.Item"
"1","Yes",91,91,NA
"2","No",798,889,NA
"7","Refused",2,891,NA
"9","Don't know",7,898,NA
".","Missing",3982,4880,NA
