"URXCBF.Code.or.Value","URXCBF.Value.Description","URXCBF.Count","URXCBF.Cumulative","URXCBF.Skip.to.Item"
"0.28 to 29.83","Range of Values",2390,2390,NA
".","Missing",222,2612,NA
