"WBXP023.Code.or.Value","WBXP023.Value.Description","WBXP023.Count","WBXP023.Cumulative","WBXP023.Skip.to.Item"
"-22.6247 to 174.724","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
