"CVDEXCL3.Code.or.Value","CVDEXCL3.Value.Description","CVDEXCL3.Count","CVDEXCL3.Cumulative","CVDEXCL3.Skip.to.Item"
"1","Yes",183,183,NA
"2","No",690,873,NA
".","Missing",3790,4663,NA
