"LBXED1.Code.or.Value","LBXED1.Value.Description","LBXED1.Count","LBXED1.Cumulative","LBXED1.Skip.to.Item"
"6.4 to 134","Range of Values",3974,3974,NA
".","Missing",1669,5643,NA
