"URXTLC.Code.or.Value","URXTLC.Value.Description","URXTLC.Count","URXTLC.Cumulative","URXTLC.Skip.to.Item"
"0.07 to 778.4","Range of Values",2651,2651,NA
".","Missing",152,2803,NA
