"URDECPLC.Code.or.Value","URDECPLC.Value.Description","URDECPLC.Count","URDECPLC.Cumulative","URDECPLC.Skip.to.Item"
"0","At or above the detection limit",2757,2757,NA
"1","Below lower detection limit",5,2762,NA
".","Missing",224,2986,NA
