"LBXODTLA.Code.or.Value","LBXODTLA.Value.Description","LBXODTLA.Count","LBXODTLA.Cumulative","LBXODTLA.Skip.to.Item"
"0.495 to 223","Range of Values",1946,1946,NA
".","Missing",391,2337,NA
