"LBX151LA.Code.or.Value","LBX151LA.Value.Description","LBX151LA.Count","LBX151LA.Cumulative","LBX151LA.Skip.to.Item"
"0.04 to 9.3","Range of Values",1870,1870,NA
".","Missing",415,2285,NA
