"WBXF053.Code.or.Value","WBXF053.Value.Description","WBXF053.Count","WBXF053.Cumulative","WBXF053.Skip.to.Item"
"1681.7928 to 1681.7928","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
