"BPQ050C.Code.or.Value","BPQ050C.Value.Description","BPQ050C.Count","BPQ050C.Cumulative","BPQ050C.Skip.to.Item"
"1","Yes",1008,1008,NA
"2","No",149,1157,NA
"7","Refused",0,1157,NA
"9","Don't know",0,1157,NA
".","Missing",5056,6213,NA
