"DIQ230.Code.or.Value","DIQ230.Value.Description","DIQ230.Count","DIQ230.Cumulative","DIQ230.Skip.to.Item"
"1","1 year ago or less",235,235,NA
"2","More than 1 year ago but no more than 2 years ago",73,308,NA
"3","More than 2 years ago but no more than 5 years ago",89,397,NA
"4","More than 5 years ago",146,543,NA
"5","Never",339,882,NA
"7","Refused",0,882,NA
"9","Don't know",10,892,NA
".","Missing",8005,8897,NA
