"AUXLR217.Code.or.Value","AUXLR217.Value.Description","AUXLR217.Count","AUXLR217.Cumulative","AUXLR217.Skip.to.Item"
"-38 to 61","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
