"TYXP077.Code.or.Value","TYXP077.Value.Description","TYXP077.Count","TYXP077.Cumulative","TYXP077.Skip.to.Item"
"-236 to 150","Range of Values",5579,5579,NA
".","Missing",6,5585,NA
