"SMQ640.Code.or.Value","SMQ640.Value.Description","SMQ640.Count","SMQ640.Cumulative","SMQ640.Skip.to.Item"
"0 to 30","Range of Values",541,541,NA
"77","Refused",0,541,NA
"99","Don't  Know",2,543,NA
".","Missing",6447,6990,NA
