"DXXL2A.Code.or.Value","DXXL2A.Value.Description","DXXL2A.Count","DXXL2A.Cumulative","DXXL2A.Skip.to.Item"
"7.88 to 23.86","Range of Values",1980,1980,NA
".","Missing",918,2898,NA
