"DBD197.Code.or.Value","DBD197.Value.Description","DBD197.Count","DBD197.Cumulative","DBD197.Skip.to.Item"
"0","Never",981,981,"DBD225"
"1","Rarely-less than once a week",925,1906,""
"2","Sometimes-once a week or more, but less than once a day, or",2034,3940,""
"3","Often-once a day or more?",5665,9605,""
"4","Varied",39,9644,""
"7","Refused",1,9645,"DBD225"
"9","Don't know",0,9645,"DBD225"
".","Missing",477,10122,""
