"URDPPBLC.Code.or.Value","URDPPBLC.Value.Description","URDPPBLC.Count","URDPPBLC.Cumulative","URDPPBLC.Skip.to.Item"
"0","At or above the detection limit",2608,2608,NA
"1","Below lower detection limit",43,2651,NA
".","Missing",152,2803,NA
