"LBXMD1.Code.or.Value","LBXMD1.Value.Description","LBXMD1.Count","LBXMD1.Cumulative","LBXMD1.Skip.to.Item"
"1","Sensitive",327,327,NA
"2","Resistant",42,369,NA
"3","Intermediate",3,372,NA
"4","No Result",0,372,NA
".","Missing",9557,9929,NA
