"LBXBR7.Code.or.Value","LBXBR7.Value.Description","LBXBR7.Count","LBXBR7.Cumulative","LBXBR7.Skip.to.Item"
"4.2 to 5432.5","Range of Values",2039,2039,NA
".","Missing",298,2337,NA
