"BAXFTC11.Code.or.Value","BAXFTC11.Value.Description","BAXFTC11.Count","BAXFTC11.Cumulative","BAXFTC11.Skip.to.Item"
"2 to 13","Range of Values",11,11,NA
".","Missing",3075,3086,NA
